"Year","Max.Heart.Rate","Avg.Heart.Rate","Max.Cadence","Avg.Cadence","Max.Pace","Avg.Pace"
2015,180.727272727273,168.454545454545,213.545454545455,165.863636363636,230.090909090909,356.454545454545
2016,179.490196078431,162.627450980392,206.549019607843,173.900196078431,222.529411764706,299.901960784314
2017,173.087209302326,154.360465116279,208.96511627907,174.440930232558,227.976744186047,338.633720930233
2018,171.348993288591,148.637583892617,200.859060402685,174.154899328859,242.536912751678,321.818791946309
2019,163.247058823529,146.611764705882,207.641176470588,182.281882352941,246.705882352941,309.629411764706
2020,159.803468208092,143.312138728324,217.578034682081,184.784913294798,246.595375722543,320.965317919075
2021,160.358208955224,145.298507462687,216.383084577114,186.932039800995,233.457711442786,300.293532338308
2022,157.184210526316,142.394736842105,215,189.612105263158,230.842105263158,291.842105263158
